Date/Time,Temperature(S1),Temperature(S2),Humidity(S1)(%),Humidity(S2)(%),Average_Temp,Average_Humidity
16/07/2022T20:23:50,26.6,26.3,37.1,39.0,26.45,38.05
16/07/2022T20:23:56,,26.3,,39.0,26.3,39.0
16/07/2022T20:24:01,26.4,26.2,37.3,39.0,26.3,38.15
16/07/2022T20:24:07,26.4,26.3,37.5,39.0,26.35,38.25
16/07/2022T20:24:12,26.4,26.3,37.5,38.8,26.35,38.15
16/07/2022T20:24:18,26.4,26.3,37.5,38.9,26.35,38.2
16/07/2022T20:24:23,26.4,26.2,37.3,38.8,26.3,38.05
16/07/2022T20:24:29,26.5,26.2,37.5,38.8,26.35,38.15
16/07/2022T20:24:34,26.5,26.2,37.4,39.0,26.35,38.2
16/07/2022T20:24:40,26.4,26.2,37.6,38.9,26.3,38.25
16/07/2022T20:24:45,26.4,26.2,37.5,38.9,26.3,38.2
16/07/2022T20:24:51,26.3,26.2,38.1,39.2,26.25,38.65
16/07/2022T20:24:57,26.4,26.3,37.3,38.9,26.35,38.1
16/07/2022T20:25:02,26.4,26.2,37.6,38.9,26.3,38.25
16/07/2022T20:25:08,26.4,26.1,37.7,39.0,26.25,38.35
16/07/2022T20:25:13,26.3,26.1,38.2,38.9,26.2,38.55
16/07/2022T20:25:19,26.4,26.2,37.6,38.9,26.3,38.25
16/07/2022T20:25:24,26.4,26.1,37.7,39.1,26.25,38.4
16/07/2022T20:25:30,26.3,26.1,38.1,39.2,26.2,38.65
16/07/2022T20:25:35,26.3,26.1,37.9,39.3,26.2,38.6
16/07/2022T20:25:41,26.4,26.2,37.7,39.0,26.3,38.35
16/07/2022T20:25:46,26.4,26.1,37.6,39.3,26.25,38.45
16/07/2022T20:25:52,26.4,26.2,37.5,39.1,26.3,38.3
16/07/2022T20:25:57,26.3,26.2,38.0,39.3,26.25,38.65
16/07/2022T20:26:03,26.3,26.1,38.3,39.3,26.2,38.8
16/07/2022T20:26:08,26.4,26.1,37.8,39.1,26.25,38.45
16/07/2022T20:26:14,26.3,26.2,38.2,39.3,26.25,38.75
16/07/2022T20:26:19,26.3,26.1,38.5,39.1,26.2,38.8
16/07/2022T20:26:25,26.3,26.1,38.2,39.3,26.2,38.75
16/07/2022T20:26:31,26.3,26.1,38.3,39.2,26.2,38.75
16/07/2022T20:26:36,26.3,26.1,38.4,39.4,26.2,38.9
16/07/2022T20:26:43,26.3,26.0,38.4,39.3,26.15,38.85
16/07/2022T20:26:48,26.2,26.1,38.3,39.3,26.15,38.8
16/07/2022T20:26:54,26.2,26.0,38.4,39.3,26.1,38.85
16/07/2022T20:26:59,26.2,26.0,38.3,39.2,26.1,38.75
16/07/2022T20:27:05,26.2,26.0,38.3,39.3,26.1,38.8
16/07/2022T20:27:11,26.2,25.9,38.3,39.3,26.05,38.8
16/07/2022T20:27:16,26.2,26.0,38.3,39.4,26.1,38.85
16/07/2022T20:27:22,26.2,25.9,38.5,39.5,26.05,39.0
16/07/2022T20:27:27,26.1,,38.4,,26.1,38.4
16/07/2022T20:27:33,26.2,25.9,38.6,39.6,26.05,39.1
16/07/2022T20:27:38,26.1,25.9,38.6,39.3,26.0,38.95
16/07/2022T20:27:44,26.1,25.9,38.5,39.5,26.0,39.0
16/07/2022T20:27:49,26.1,25.9,38.5,39.5,26.0,39.0
16/07/2022T20:27:55,26.1,25.9,38.3,39.5,26.0,38.9
16/07/2022T20:28:00,26.1,26.0,38.2,39.4,26.05,38.8
16/07/2022T20:28:06,26.1,25.9,38.5,39.6,26.0,39.05
16/07/2022T20:28:11,26.2,26.0,38.5,39.4,26.1,38.95
16/07/2022T20:28:17,26.1,26.0,38.4,39.5,26.05,38.95
16/07/2022T20:28:22,26.2,25.9,38.6,39.4,26.05,39.0
16/07/2022T20:28:28,26.1,25.9,38.4,39.5,26.0,38.95
16/07/2022T20:28:33,26.2,26.0,38.4,39.5,26.1,38.95
16/07/2022T20:28:39,26.2,26.0,38.5,39.6,26.1,39.05
16/07/2022T20:28:44,26.2,26.0,38.6,39.7,26.1,39.15
16/07/2022T20:28:50,26.1,25.9,38.5,39.6,26.0,39.05
