Date/Time,Temperature(S1),Temperature(S2),Humidity(S1)(%),Humidity(S2)(%),Average_Temp,Average_Humidity
2022-07-17T09:12:30,,25.9,,48.5,25.9,48.5
2022-07-17T09:12:35,26.0,26.0,47.8,48.6,26.0,48.2
2022-07-17T09:12:41,26.0,25.9,47.7,48.7,25.95,48.2
2022-07-17T09:12:46,26.1,25.9,47.8,49.0,26.0,48.4
2022-07-17T09:12:52,26.1,26.0,47.8,48.7,26.05,48.25
2022-07-17T09:12:57,26.0,26.0,48.1,49.0,26.0,48.55
2022-07-17T09:13:03,26.1,26.0,48.1,48.9,26.05,48.5
2022-07-17T09:13:08,26.1,25.9,48.0,48.9,26.0,48.45
2022-07-17T09:13:14,26.0,25.9,47.7,48.7,25.95,48.2
2022-07-17T09:13:19,26.1,26.0,47.9,48.6,26.05,48.25
2022-07-17T09:13:25,26.1,25.9,47.6,48.4,26.0,48.0
2022-07-17T09:13:30,26.1,25.9,47.8,48.6,26.0,48.2
2022-07-17T09:13:36,26.1,26.0,47.5,48.8,26.05,48.15
2022-07-17T09:13:41,26.1,26.0,47.8,49.1,26.05,48.45
2022-07-17T09:13:47,26.1,26.0,47.8,48.8,26.05,48.3
2022-07-17T09:13:53,26.2,26.0,47.8,48.5,26.1,48.15
2022-07-17T09:13:58,26.1,26.0,47.5,48.5,26.05,48.0
2022-07-17T09:14:04,26.1,25.9,47.3,48.6,26.0,47.95
2022-07-17T09:14:09,26.0,26.0,47.5,48.6,26.0,48.05
2022-07-17T09:14:15,26.1,26.0,47.1,48.7,26.05,47.9
2022-07-17T09:14:20,26.0,25.9,47.4,48.6,25.95,48.0
2022-07-17T09:14:26,26.0,25.9,47.8,48.3,25.95,48.05
2022-07-17T09:14:31,26.0,25.9,47.4,48.4,25.95,47.9
2022-07-17T09:14:37,26.1,25.9,47.3,48.1,26.0,47.7
2022-07-17T09:14:42,26.1,25.9,47.3,48.7,26.0,48.0
2022-07-17T09:14:48,26.0,25.9,47.1,48.4,25.95,47.75
2022-07-17T09:14:53,26.0,25.9,47.4,48.6,25.95,48.0
2022-07-17T09:14:59,26.1,25.9,47.5,48.6,26.0,48.05
2022-07-17T09:15:04,26.2,26.0,47.3,48.5,26.1,47.9
2022-07-17T09:15:10,26.0,26.0,47.5,48.8,26.0,48.15
2022-07-17T09:15:15,26.0,26.0,47.5,48.7,26.0,48.1
2022-07-17T09:15:21,26.1,26.0,47.0,48.6,26.05,47.8
2022-07-17T09:15:26,26.1,26.0,47.1,48.2,26.05,47.65
2022-07-17T09:15:32,26.1,26.0,47.4,48.4,26.05,47.9
2022-07-17T09:15:37,26.1,26.0,47.1,48.4,26.05,47.75
2022-07-17T09:15:43,26.0,26.0,47.3,48.6,26.0,47.95
2022-07-17T09:15:49,26.0,25.9,47.2,48.3,25.95,47.75
2022-07-17T09:15:54,26.1,26.0,47.5,48.5,26.05,48.0
2022-07-17T09:16:00,26.1,26.0,47.3,48.5,26.05,47.9
2022-07-17T09:16:05,26.1,26.1,47.2,48.5,26.1,47.85
2022-07-17T09:16:11,26.1,26.0,47.1,48.3,26.05,47.7
2022-07-17T09:16:16,26.1,26.0,47.1,48.7,26.05,47.9
2022-07-17T09:16:22,26.1,26.0,47.0,48.5,26.05,47.75
2022-07-17T09:16:27,26.1,26.0,47.2,48.0,26.05,47.6
2022-07-17T09:16:33,26.1,26.0,47.4,48.3,26.05,47.85
2022-07-17T09:16:38,26.2,26.1,47.1,48.4,26.15,47.75
2022-07-17T09:16:44,26.2,26.0,47.0,48.5,26.1,47.75
2022-07-17T09:16:49,26.2,26.0,47.2,48.4,26.1,47.8
2022-07-17T09:16:56,26.2,26.0,47.0,48.5,26.1,47.75
2022-07-17T09:17:01,26.2,26.0,47.4,48.7,26.1,48.05
2022-07-17T09:17:07,26.2,26.0,47.2,48.5,26.1,47.85
2022-07-17T09:17:12,26.2,26.1,47.1,48.3,26.15,47.7
2022-07-17T09:17:18,26.2,26.1,47.2,48.5,26.15,47.85
2022-07-17T09:17:23,26.1,26.1,47.4,48.4,26.1,47.9
2022-07-17T09:17:29,26.1,26.1,47.0,48.3,26.1,47.65
2022-07-17T09:17:34,26.1,26.1,47.2,48.6,26.1,47.9
2022-07-17T09:17:40,26.1,26.0,46.8,48.2,26.05,47.5
2022-07-17T09:17:45,26.2,26.0,46.7,48.3,26.1,47.5
2022-07-17T09:17:51,26.1,26.1,46.7,48.3,26.1,47.5
2022-07-17T09:17:56,26.1,26.0,46.8,48.0,26.05,47.4
2022-07-17T09:18:02,26.1,26.0,46.9,47.9,26.05,47.4
2022-07-17T09:18:08,26.1,26.1,47.0,48.1,26.1,47.55
2022-07-17T09:18:13,26.2,26.0,47.2,48.4,26.1,47.8
2022-07-17T09:18:19,26.2,26.0,47.1,48.4,26.1,47.75
2022-07-17T09:18:24,26.1,26.0,47.2,48.1,26.05,47.65
2022-07-17T09:18:30,26.2,26.0,47.5,48.7,26.1,48.1
2022-07-17T09:18:35,26.2,26.1,47.3,48.4,26.15,47.85
2022-07-17T09:18:41,26.1,26.1,47.0,48.3,26.1,47.65
2022-07-17T09:18:46,26.3,26.1,47.0,48.1,26.2,47.55
2022-07-17T09:18:52,26.2,26.1,46.8,48.4,26.15,47.6
2022-07-17T09:18:57,26.2,26.1,46.6,48.1,26.15,47.35
2022-07-17T09:19:03,26.2,26.1,46.6,48.1,26.15,47.35
2022-07-17T09:19:08,26.2,26.1,46.8,48.2,26.15,47.5
2022-07-17T09:19:14,26.2,,46.8,,26.2,46.8
2022-07-17T09:19:19,,26.1,,48.3,26.1,48.3
2022-07-17T09:19:25,26.3,26.1,47.1,48.4,26.2,47.75
2022-07-17T09:19:30,26.2,26.1,47.0,48.2,26.15,47.6
2022-07-17T09:19:36,26.2,26.1,47.3,48.4,26.15,47.85
2022-07-17T09:19:41,26.2,26.1,47.0,48.4,26.15,47.7
2022-07-17T09:19:47,26.2,26.1,47.0,48.2,26.15,47.6
2022-07-17T09:19:53,26.3,26.2,47.2,48.4,26.25,47.8
2022-07-17T09:19:58,26.2,26.1,47.3,48.6,26.15,47.95
2022-07-17T09:20:04,26.3,26.1,47.5,48.7,26.2,48.1
2022-07-17T09:20:09,26.2,26.1,47.2,48.2,26.15,47.7
2022-07-17T09:20:15,26.2,26.2,47.5,48.4,26.2,47.95
2022-07-17T09:20:20,26.2,26.1,47.4,48.5,26.15,47.95
2022-07-17T09:20:26,26.3,26.2,47.3,48.6,26.25,47.95
2022-07-17T09:20:31,26.2,26.2,47.5,48.6,26.2,48.05
2022-07-17T09:20:37,26.3,,47.6,,26.3,47.6
2022-07-17T09:20:42,26.3,26.1,47.1,48.3,26.2,47.7
2022-07-17T09:20:48,26.3,26.2,47.3,48.6,26.25,47.95
2022-07-17T09:20:53,26.4,26.2,46.6,48.6,26.3,47.6
2022-07-17T09:20:59,26.4,26.2,46.6,48.3,26.3,47.45
2022-07-17T09:21:04,26.3,26.2,47.0,48.3,26.25,47.65
2022-07-17T09:21:10,26.3,26.2,47.0,48.3,26.25,47.65
2022-07-17T09:21:15,26.3,26.3,47.0,48.6,26.3,47.8
2022-07-17T09:21:21,26.4,26.2,46.4,48.1,26.3,47.25
2022-07-17T09:21:26,26.3,26.3,46.8,48.2,26.3,47.5
2022-07-17T09:21:32,26.4,26.3,46.2,48.2,26.35,47.2
2022-07-17T09:21:37,26.4,26.2,46.0,48.0,26.3,47.0
2022-07-17T09:21:43,26.3,26.2,46.6,47.9,26.25,47.25
2022-07-17T09:21:49,26.4,26.2,45.7,47.9,26.3,46.8
2022-07-17T09:21:54,26.4,26.3,45.8,47.7,26.35,46.75
2022-07-17T09:22:00,26.3,,46.2,,26.3,46.2
2022-07-17T09:22:05,26.4,26.2,45.6,48.0,26.3,46.8
