Date/Time,Temperature(S1),Humidity(S1)(%)
2022-07-17T12:44:35,31.1,36.7
2022-07-17T12:44:40,30.9,36.6
2022-07-17T12:44:45,30.8,36.7
2022-07-17T12:44:51,30.8,36.5
2022-07-17T12:44:56,30.8,36.6
2022-07-17T12:45:02,30.8,36.7
2022-07-17T12:45:07,30.8,36.9
2022-07-17T12:45:12,30.8,36.8
2022-07-17T12:45:18,30.7,36.8
2022-07-17T12:45:23,30.8,36.7
2022-07-17T12:45:28,30.7,36.8
2022-07-17T12:45:34,30.7,36.8
2022-07-17T12:45:39,,
2022-07-17T12:45:44,30.8,36.7
2022-07-17T12:45:50,30.8,36.7
2022-07-17T12:45:55,30.9,36.8
2022-07-17T12:46:01,30.9,36.8
2022-07-17T12:46:06,30.9,36.9
2022-07-17T12:46:11,31.0,36.7
2022-07-17T12:46:17,31.1,36.6
2022-07-17T12:46:22,31.1,36.5
2022-07-17T12:46:27,31.1,36.5
2022-07-17T12:46:33,31.2,36.7
2022-07-17T12:46:38,31.2,36.4
2022-07-17T12:46:43,31.3,36.7
2022-07-17T12:46:49,31.2,36.7
2022-07-17T12:46:54,31.3,36.6
2022-07-17T12:46:59,31.2,36.3
2022-07-17T12:47:05,31.2,36.6
2022-07-17T12:47:10,31.2,36.5
2022-07-17T12:47:16,31.2,36.7
2022-07-17T12:47:21,31.1,36.5
2022-07-17T12:47:26,31.1,36.4
2022-07-17T12:47:32,31.0,36.4
2022-07-17T12:47:37,30.9,36.2
2022-07-17T12:47:42,31.1,36.2
2022-07-17T12:47:48,31.0,36.4
2022-07-17T12:47:53,31.0,36.5
2022-07-17T12:47:58,31.0,36.5
2022-07-17T12:48:04,31.0,36.8
2022-07-17T12:48:09,31.0,36.5
2022-07-17T12:48:14,30.9,36.3
2022-07-17T12:48:20,31.0,36.2
2022-07-17T12:48:25,31.0,36.3
2022-07-17T12:48:31,31.0,36.3
2022-07-17T12:48:36,31.1,36.2
2022-07-17T12:48:41,31.0,36.4
2022-07-17T12:48:47,31.1,36.4
2022-07-17T12:48:52,31.1,36.5
2022-07-17T12:48:57,31.0,36.5
2022-07-17T12:49:03,31.2,36.7
2022-07-17T12:49:08,31.2,36.6
2022-07-17T12:49:13,31.2,36.5
2022-07-17T12:49:19,31.1,36.9
2022-07-17T12:49:24,31.2,36.6
2022-07-17T12:49:30,31.2,36.5
2022-07-17T12:49:35,31.1,36.4
2022-07-17T12:49:40,31.2,36.3
2022-07-17T12:49:46,31.2,36.4
2022-07-17T12:49:51,31.2,36.3
2022-07-17T12:49:56,31.2,36.5
2022-07-17T12:50:02,31.2,36.4
2022-07-17T12:50:07,31.3,36.3
2022-07-17T12:50:12,31.3,36.2
2022-07-17T12:50:18,31.2,36.3
2022-07-17T12:50:23,31.1,36.3
2022-07-17T12:50:28,31.1,36.4
2022-07-17T12:50:34,31.0,36.2
2022-07-17T12:50:39,31.0,36.2
2022-07-17T12:50:45,31.1,35.9
2022-07-17T12:50:50,31.0,36.3
2022-07-17T12:50:55,30.9,36.4
2022-07-17T12:51:01,31.1,36.5
2022-07-17T12:51:06,31.0,36.5
2022-07-17T12:51:11,31.0,36.4
2022-07-17T12:51:17,31.1,36.5
2022-07-17T12:51:22,31.0,36.5
2022-07-17T12:51:27,31.0,36.2
2022-07-17T12:51:33,31.0,36.2
2022-07-17T12:51:38,30.9,36.3
2022-07-17T12:51:43,31.0,36.3
2022-07-17T12:51:49,31.0,36.5
2022-07-17T12:51:54,31.0,36.7
2022-07-17T12:52:00,31.0,36.7
2022-07-17T12:52:05,31.0,36.5
2022-07-17T12:52:10,31.1,36.8
2022-07-17T12:52:16,30.9,36.6
2022-07-17T12:52:21,,
2022-07-17T12:52:26,31.1,36.7
2022-07-17T12:52:32,31.0,36.7
2022-07-17T12:52:37,31.0,36.4
2022-07-17T12:52:42,30.9,36.6
2022-07-17T12:52:48,,
2022-07-17T12:52:53,30.9,36.3
2022-07-17T12:52:59,30.9,36.3
2022-07-17T12:53:04,30.9,36.7
2022-07-17T12:53:09,30.9,36.7
2022-07-17T12:53:15,30.9,36.7
2022-07-17T12:53:20,31.0,36.7
2022-07-17T12:53:25,30.9,36.8
2022-07-17T12:53:31,30.9,36.7
2022-07-17T12:53:36,31.0,36.7
2022-07-17T12:53:41,31.1,36.4
2022-07-17T12:53:47,30.9,36.3
2022-07-17T12:53:52,30.8,36.6
2022-07-17T12:53:58,,
2022-07-17T12:54:03,30.9,36.4
2022-07-17T12:54:08,30.9,36.4
2022-07-17T12:54:14,30.8,36.3
2022-07-17T12:54:19,30.9,36.3
2022-07-17T12:54:24,30.9,36.4
2022-07-17T12:54:30,30.8,36.5
2022-07-17T12:54:35,30.8,36.6
2022-07-17T12:54:40,30.8,36.5
2022-07-17T12:54:46,30.9,36.7
2022-07-17T12:54:51,30.8,36.6
2022-07-17T12:54:57,30.8,36.7
2022-07-17T12:55:02,30.8,36.7
2022-07-17T12:55:07,30.9,36.5
2022-07-17T12:55:13,,
2022-07-17T12:55:18,30.9,36.4
