Date/Time,Temperature(S1),Humidity(S1)(%)
2022-07-17T12:19:40,30.7,36.8
2022-07-17T12:19:46,31.0,36.7
2022-07-17T12:19:51,31.1,36.6
2022-07-17T12:19:56,31.1,36.6
2022-07-17T12:20:02,31.1,36.6
2022-07-17T12:20:07,31.2,36.5
2022-07-17T12:20:13,31.0,36.6
2022-07-17T12:20:18,31.1,36.7
2022-07-17T12:20:23,31.1,36.6
2022-07-17T12:20:29,31.2,36.5
2022-07-17T12:20:34,31.2,36.1
2022-07-17T12:20:39,31.1,36.2
2022-07-17T12:20:45,31.2,36.0
2022-07-17T12:20:50,31.1,36.0
2022-07-17T12:20:55,31.0,35.8
2022-07-17T12:21:01,30.9,35.8
2022-07-17T12:21:06,30.8,35.7
